user_id,usefulness,reliability,trust,confidence,satisfaction,predictability,understandability,surprised,comfortable,numeracy_fractions,numeracy_shirt,numeracy_useful,age_group,gender,education
5,4,4,5,5,4,4,4,4,4,3,4,3,35-40,male,trade_technical
6,5,3,2,2,3,3,5,3,3,2,5,5,56-70,male,some_college
8,3,2,5,4,5,3,6,5,5,2,2,2,18-25,male,high_school
9,6,7,6,6,7,6,6,6,6,5,6,5,41-55,male,master
12,5,2,5,5,6,4,6,4,5,4,4,4,18-25,male,high_school
10,6,5,4,4,5,4,4,3,3,5,4,3,41-55,female,some_college
11,1,1,1,1,1,1,1,1,1,1,1,1,26-34,male,bachelor
13,4,4,4,4,6,5,4,5,4,4,4,4,35-40,female,high_school
18,4,6,5,4,6,7,7,7,6,3,2,2,41-55,female,some_college
15,4,2,2,2,2,3,3,2,2,6,6,5,older_than_70,male,associate
14,2,2,2,5,3,3,5,5,2,3,5,3,26-34,male,high_school
19,1,1,1,1,1,1,1,1,1,3,3,2,41-55,male,high_school
21,3,3,4,4,5,5,5,5,2,3,3,3,41-55,female,some_high_school
22,4,3,3,3,4,4,4,4,4,3,4,4,41-55,female,master
23,3,4,4,4,3,4,4,4,4,4,4,4,41-55,female,high_school
26,4,4,4,4,4,4,4,4,4,4,4,4,26-34,female,some_college
28,2,2,2,2,2,2,2,2,2,4,4,4,older_than_70,female,associate
31,5,4,3,4,3,3,3,6,3,5,6,6,56-70,male,some_college
33,2,2,2,2,2,4,4,3,3,3,4,4,41-55,female,high_school
32,5,6,6,6,6,7,7,5,5,6,5,6,41-55,female,high_school
34,2,2,2,2,2,2,2,2,2,2,2,2,41-55,female,associate
42,4,4,4,4,4,4,4,4,4,3,3,3,26-34,female,bachelor
40,7,7,7,7,7,7,7,7,7,6,6,6,35-40,male,high_school
37,4,4,4,4,5,5,4,4,5,5,5,5,56-70,female,some_high_school
53,3,4,4,4,4,4,4,4,4,4,4,4,35-40,female,high_school
57,5,6,6,6,4,6,6,3,3,2,4,2,41-55,male,bachelor
38,4,4,5,4,6,5,6,5,3,2,3,6,56-70,male,high_school
56,5,5,5,6,5,4,4,4,4,4,4,4,41-55,female,high_school
36,6,5,6,6,5,6,5,6,5,3,4,4,18-25,male,high_school
47,7,7,7,7,7,7,7,7,7,6,6,6,26-34,female,high_school
68,3,4,4,4,5,4,5,5,5,4,4,4,56-70,female,high_school
35,1,1,1,1,2,5,6,3,1,2,4,4,41-55,female,some_college
44,3,3,3,4,3,3,3,3,2,3,2,2,26-34,female,associate
39,6,6,6,6,6,6,6,6,6,6,6,6,older_than_70,female,some_college
50,4,4,4,4,3,4,4,4,4,4,4,4,35-40,female,high_school
66,2,7,4,2,1,1,1,1,1,4,4,5,35-40,female,some_college
74,2,2,2,2,1,1,1,1,1,3,4,4,35-40,female,some_college
46,6,7,6,6,7,6,6,7,7,3,5,5,26-34,female,high_school
49,6,5,6,3,7,3,4,5,4,5,6,6,56-70,male,trade_technical
78,6,7,7,7,4,6,7,7,7,5,6,5,26-34,female,some_college
58,7,6,6,6,7,7,7,6,7,4,4,4,18-25,female,some_college
69,7,7,6,7,7,7,5,5,7,6,6,5,35-40,female,high_school
45,2,2,2,2,2,2,2,2,5,2,5,3,older_than_70,female,some_college
43,5,3,4,3,4,4,4,4,4,3,3,4,56-70,female,bachelor
63,4,3,3,3,3,5,5,4,3,2,2,3,41-55,female,trade_technical
79,2,2,2,2,2,2,2,2,2,2,2,2,18-25,female,high_school
81,2,2,1,2,2,2,2,2,2,6,6,6,41-55,female,bachelor
73,3,3,3,3,2,2,2,2,2,6,6,6,41-55,male,high_school
55,6,6,5,5,5,5,5,5,4,4,4,5,56-70,male,some_college
72,2,2,2,2,2,3,3,2,2,2,2,3,26-34,prefer_not_to_answer,high_school
77,7,7,7,7,7,7,7,7,7,6,6,6,56-70,female,high_school
91,2,2,3,3,3,2,2,2,2,2,2,2,18-25,female,some_college
62,3,2,2,3,2,3,4,2,2,4,3,2,18-25,male,some_college
83,3,3,4,3,2,2,3,3,3,2,3,2,56-70,female,high_school
51,2,4,2,4,2,2,2,3,4,2,4,4,41-55,male,some_college
88,7,6,6,6,5,5,6,5,5,2,4,3,56-70,female,high_school
54,6,7,6,6,6,6,6,6,6,5,6,5,35-40,male,bachelor
67,5,6,4,4,4,4,4,4,4,4,5,5,41-55,female,bachelor
92,7,6,5,5,6,6,7,7,7,6,6,6,41-55,female,master
82,7,6,7,7,7,7,7,5,5,3,1,4,41-55,female,high_school
75,2,2,2,2,2,4,5,3,2,3,3,4,41-55,male,high_school
86,4,7,5,3,2,2,3,1,2,5,5,6,41-55,female,associate
84,3,4,3,6,3,5,5,3,4,2,4,4,41-55,female,high_school
93,3,3,3,4,5,5,6,5,5,3,3,4,18-25,female,high_school
95,3,3,3,4,4,4,4,4,4,4,5,5,56-70,female,associate
76,7,4,1,3,4,2,2,2,2,2,2,2,56-70,female,high_school
94,1,1,1,1,1,1,1,1,1,1,3,3,older_than_70,female,associate
85,7,6,7,6,7,5,5,5,4,3,6,5,56-70,male,associate
118,4,4,3,6,3,4,5,6,7,3,3,4,41-55,non-binary,some_college
119,4,4,3,5,4,3,5,3,4,3,5,5,less_than_18,non-binary,some_high_school
120,6,6,5,6,6,5,5,5,6,5,4,5,26-34,male,high_school
121,7,4,4,4,4,7,7,7,7,5,6,5,56-70,female,some_college
123,3,4,3,4,3,3,4,3,3,2,4,3,older_than_70,female,high_school
126,6,6,4,4,6,2,6,6,4,2,3,3,56-70,female,some_college
128,2,2,2,2,2,2,2,2,2,4,5,3,41-55,female,some_high_school
129,4,4,4,4,5,3,4,4,5,4,4,4,35-40,male,bachelor
130,5,7,6,6,6,6,6,6,6,5,5,5,41-55,male,master
138,7,7,7,7,7,7,7,7,7,6,6,6,41-55,female,high_school
135,2,2,2,2,2,2,2,4,4,4,6,4,older_than_70,female,some_college
139,2,2,2,2,2,2,2,6,6,2,6,6,older_than_70,female,associate
137,4,5,3,2,5,4,4,6,4,5,1,3,older_than_70,male,some_college
136,6,7,6,6,7,6,6,2,6,4,5,6,older_than_70,male,bachelor
146,2,3,4,3,4,3,5,3,5,3,5,4,26-34,male,high_school
145,3,3,3,3,1,1,1,1,1,1,1,1,56-70,female,some_college
141,4,5,5,6,4,5,5,5,5,4,6,6,older_than_70,female,some_college
144,2,4,4,4,4,3,4,3,3,4,4,5,older_than_70,male,some_college
147,2,2,2,2,1,1,1,1,1,1,6,1,41-55,female,some_college
142,5,5,5,5,5,3,4,3,3,3,5,5,56-70,female,master
149,5,5,5,4,5,4,4,4,4,5,5,5,56-70,female,bachelor
143,5,5,5,5,5,5,4,3,4,3,5,5,older_than_70,male,bachelor
156,3,2,4,3,3,3,4,3,3,3,3,4,56-70,female,master
